kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg gorski, Dystans: 35km, Nachylenie trasy: wysoki
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: brak, Dystans: 41km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 7km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg uliczny, Dystans: 37km, Nachylenie trasy: ma³y
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 13km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 33km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg uliczny, Dystans: 24km, Nachylenie trasy: ma³y
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 25km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg uliczny, Dystans: 38km, Nachylenie trasy: ma³y
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 32km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg gorski, Dystans: 5km, Nachylenie trasy: wysoki
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg gorski, Dystans: 17km, Nachylenie trasy: wysoki
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg gorski, Dystans: 20km, Nachylenie trasy: wysoki
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: brak, Dystans: 4km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg gorski, Dystans: 18km, Nachylenie trasy: wysoki
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg na stadionie, Dystans: 25km, Nachylenie trasy: brak
kraj: Hiszpania, Ilosc subskrybentow: 1, Typ biegu: Bieg uliczny, Dystans: 38km, Nachylenie trasy: ma³y
